number,name,status
689,Unstable C API tier,Final
688,Making the buffer protocol accessible in Python,Accepted
687,Isolating modules in the standard library,Accepted
686,Make UTF-8 mode default,Accepted
685,Comparison of extra names for optional distribution dependencies,Accepted
684,A Per-Interpreter GIL,Accepted
682,Format Specifier for Signed Zero,Final
683,"Immortal Objects, Using a Fixed Refcount",Accepted
681,Data Class Transforms,Accepted
680,tomllib: Support for Parsing TOML in the Standard Library,Final
679,Allow parentheses in assert statements,Draft
678,Enriching Exceptions with Notes,Final
673,Self Type,Accepted
676,PEP Infrastructure Process,Active
674,Disallow using macros as l-values,Deferred
675,Arbitrary Literal String Type,Accepted
677,Callable Type Syntax,Rejected
672,Unicode-related Security Considerations for Python,Active
671,Syntax for late-bound function argument defaults,Draft
667,Consistent views of namespaces,Draft
665,A file format to list Python dependencies for reproducibility of an application,Rejected
670,Convert macros to functions in the Python C API,Final
669,Low Impact Monitoring for CPython,Accepted
666,Reject Foolish Indentation,Rejected
668,Marking Python base environments as “externally managed”,Accepted
664,Python 3.11 Release Schedule,Active
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
660,Editable installs for pyproject.toml based builds (wheel based),Final
662,Editable installs via virtual wheels,Rejected
657,Include Fine Grained Error Locations in Tracebacks,Final
659,Specializing Adaptive Interpreter,Draft
651,Robust Stack Overflow Handling,Rejected
661,Sentinel Values,Draft
658,Serve Distribution Metadata in the Simple Repository API,Accepted
650,Specifying Installer Requirements for Python Projects,Withdrawn
649,Deferred Evaluation Of Annotations Using Descriptors,Accepted
648,Extensible customizations of the interpreter at startup,Rejected
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
647,User-Defined Type Guards,Accepted
646,Variadic Generics,Accepted
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
639,Improving License Clarity with Better Package Metadata,Draft
640,Unused variable syntax,Rejected
638,Syntactic Macros,Draft
637,Support for indexing with keyword arguments,Rejected
634,Structural Pattern Matching: Specification,Final
635,Structural Pattern Matching: Motivation and Rationale,Final
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
632,Deprecate distutils module,Final
636,Structural Pattern Matching: Tutorial,Final
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
626,Precise line numbers for debugging and other tools.,Final
625,Filename of a Source Distribution,Accepted
624,Remove Py_UNICODE encoder APIs,Final
630,Isolating Extension Modules,Final
629,Versioning PyPI’s Simple API,Final
628,Add ,Final
623,Remove wstr from Unicode,Final
627,Recording installed projects,Final
619,Python 3.10 Release Schedule,Active
617,New PEG parser for CPython,Accepted
622,Structural Pattern Matching,Superseded
620,Hide implementation details from the C API,Withdrawn
616,String methods to remove prefixes and suffixes,Final
615,Support for the IANA Time Zone Database in the Standard Library,Accepted
618,Add Optional Length-Checking To zip,Final
621,Storing project metadata in pyproject.toml,Final
612,Parameter Specification Variables,Accepted
614,Relaxing Grammar Restrictions On Decorators,Final
613,Explicit Type Aliases,Accepted
607,Reducing CPython’s Feature Delivery Latency,Final
611,The one million limit,Withdrawn
610,Recording the Direct URL Origin of installed distributions,Final
609,Python Packaging Authority (PyPA) Governance,Active
608,Coordinated Python release,Rejected
606,Python Compatibility Version,Rejected
602,Annual Release Cycle for Python,Accepted
595,Improving bugs.python.org,Withdrawn
603,Adding a frozenmap type to collections,Draft
594,Removing dead batteries from the standard library,Final
593,Flexible function and variable annotations,Accepted
605,A rolling feature release stream for CPython,Rejected
601,Forbid return/break/continue breaking out of finally,Rejected
604,Allow writing union types as ,Accepted
584,Add Union Operators To dict,Final
592,Adding “Yank” Support to the Simple API,Final
588,GitHub Issues Migration Plan,Draft
582,Python local packages directory,Rejected
585,Type Hinting Generics In Standard Collections,Final
583,A Concurrency Memory Model for Python,Withdrawn
586,Literal Types,Accepted
587,Python Initialization Configuration,Final
581,Using GitHub Issues for CPython,Accepted
580,The C call protocol,Rejected
579,Refactoring C functions and methods,Final
578,Python Runtime Audit Hooks,Accepted
573,Module State Access from C Extension Methods,Final
577,Augmented Assignment Expressions,Withdrawn
574,Pickle protocol 5 with out-of-band data,Final
576,Rationalize Built-in function classes,Withdrawn
575,Unifying function/method classes,Withdrawn
552,Deterministic pycs,Final
563,Postponed Evaluation of Annotations,Accepted
562,Module __getattr__ and __dir__,Final
561,Distributing and Packaging Type Information,Final
555,Context-local variables (contextvars),Withdrawn
554,Multiple Interpreters in the Stdlib,Superseded
572,Assignment Expressions,Final
553,Built-in breakpoint(),Final
542,Dot Notation Assignment In Function Header,Rejected
551,Security transparency in the Python runtime,Withdrawn
548,More Flexible Loop Control,Rejected
549,Instance Descriptors,Rejected
541,Package Index Name Retention,Final
550,Execution Context,Withdrawn
544,Protocols: Structural subtyping (static duck typing),Accepted
543,A Unified TLS API for Python,Withdrawn
531,Existence checking operators,Withdrawn
530,Asynchronous Comprehensions,Final
527,Removing Un(der)used file types/extensions on PyPI,Final
526,Syntax for Variable Annotations,Final
535,Rich comparison chaining,Deferred
529,Change Windows filesystem encoding to UTF-8,Final
528,Change Windows console encoding to UTF-8,Final
532,A circuit breaking protocol and binary operators,Deferred
525,Asynchronous Generators,Final
524,Make os.urandom() blocking on Linux,Final
523,Adding a frame evaluation API to CPython,Final
522,Allow BlockingIOError in security sensitive APIs,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
520,Preserving Class Attribute Definition Order,Final
519,Adding a file system path protocol,Final
518,Specifying Minimum Build System Requirements for Python Projects,Final
517,A build-system independent format for source trees,Final
511,API for code transformers,Rejected
510,Specialize functions with guards,Rejected
509,Add a private version to dict,Superseded
512,Migrating from hg.python.org to GitHub,Final
508,Dependency specification for Python Software Packages,Final
507,Migrate CPython to Git and GitLab,Rejected
506,Adding A Secrets Module To The Standard Library,Final
505,None-aware operators,Deferred
499,,Deferred
495,Local Time Disambiguation,Final
502,String Interpolation - Extended Discussion,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
497,A standard mechanism for backward compatibility,Rejected
498,Literal String Interpolation,Final
496,Environment Markers,Rejected
501,General purpose string interpolation,Deferred
494,Python 3.6 Release Schedule,Final
490,Chain exceptions at C level,Rejected
488,Elimination of PYO files,Final
493,HTTPS verification migration tools for Python 2.7,Final
492,Coroutines with async and await syntax,Final
487,Simpler customisation of class creation,Final
491,The Wheel Binary Package Format 1.9,Deferred
489,Multi-phase extension module initialization,Final
484,Type Hints,Final
486,Make the Python Launcher aware of virtual environments,Final
482,Literature Overview for Type Hints,Final
483,The Theory of Type Hints,Final
485,A Function for testing approximate equality,Final
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
478,Python 3.5 Release Schedule,Final
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
479,Change StopIteration handling inside generators,Final
476,Enabling certificate verification by default for stdlib http clients,Final
475,Retry system calls failing with EINTR,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Final
474,Creating forge.python.org,Withdrawn
471,os.scandir() function,Final
470,Removing External Hosting Support on PyPI,Final
472,Support for indexing with keyword arguments,Rejected
473,Adding structured data to built-in exceptions,Rejected
466,Network Security Enhancements for Python 2.7.x,Final
468,Preserving the order of **kwargs in a function.,Final
469,Migration of dict iteration code to Python 3,Withdrawn
467,Minor API improvements for binary sequences,Draft
462,Core development workflow automation for CPython,Withdrawn
465,A dedicated infix operator for matrix multiplication,Final
464,Removal of the PyPI Mirror Authenticity API,Final
463,Exception-catching expressions,Rejected
460,Add binary interpolation and formatting,Withdrawn
456,Secure and interchangeable hash algorithm,Final
457,Notation For Positional-Only Parameters,Final
461,Adding % formatting to bytes and bytearray,Final
455,Adding a key-transforming dictionary to collections,Rejected
452,API for Cryptographic Hash Functions v2.0,Final
454,Add a new tracemalloc module to trace Python memory allocations,Final
453,Explicit bootstrapping of pip in Python installations,Final
450,Adding A Statistics Module To The Standard Library,Final
448,Additional Unpacking Generalizations,Final
451,A ModuleSpec Type for the Import System,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
445,Add new APIs to customize Python memory allocators,Final
444,Python Web3 Interface,Deferred
446,Make newly created file descriptors non-inheritable,Final
447,Add __getdescriptor__ method to metaclass,Deferred
441,Improving Python ZIP Application Support,Final
443,Single-dispatch generic functions,Final
440,Version Identification and Dependency Specification,Final
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
442,Safe object finalization,Final
438,Transitioning to release-file hosting on PyPI,Superseded
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
436,The Argument Clinic DSL,Final
431,Time zone support improvements,Superseded
434,IDLE Enhancement Exception for All Branches,Active
433,Easier suppression of file descriptor inheritance,Superseded
428,The pathlib module,Final
430,Migrating to Python 3 as the default online documentation,Final
429,Python 3.4 Release Schedule,Final
435,Adding an Enum type to the Python standard library,Final
421,Adding sys.implementation,Final
426,Metadata for Python Software Packages 2.0,Withdrawn
425,Compatibility Tags for Built Distributions,Final
424,A method for exposing a length hint,Final
422,Simpler customisation of class creation,Withdrawn
423,Naming conventions and recipes related to packaging,Deferred
427,The Wheel Binary Package Format 1.0,Final
432,Restructuring the CPython startup sequence,Withdrawn
417,Including mock in the Standard Library,Final
416,Add a frozendict builtin type,Rejected
419,Protecting cleanup statements from interruptions,Deferred
415,Implement context suppression with exception attributes,Final
414,Explicit Unicode Literal for Python 3.3,Final
420,Implicit Namespace Packages,Final
418,"Add monotonic time, performance counter, and process time functions",Final
410,Use decimal.Decimal type for timestamps,Rejected
407,New release cycle and introducing long-term support versions,Deferred
406,Improved Encapsulation of Import State,Withdrawn
413,Faster evolution of the Python Standard Library,Withdrawn
409,Suppressing exception context,Final
408,Standard library __preview__ package,Rejected
411,Provisional packages in the Python standard library,Superseded
412,Key-Sharing Dictionary,Final
405,Python Virtual Environments,Final
404,Python 2.8 Un-release Schedule,Final
403,General purpose decorator clause (aka “@in” clause),Deferred
402,Simplified Package Layout and Partitioning,Rejected
401,BDFL Retirement,April Fool!
398,Python 3.3 Release Schedule,Final
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
397,Python launcher for Windows,Final
395,Qualified Names for Modules,Withdrawn
394,The “python” Command on Unix-Like Systems,Active
396,Module Version Numbers,Rejected
393,Flexible String Representation,Final
392,Python 3.2 Release Schedule,Final
390,Static metadata for Distutils,Rejected
391,Dictionary-Based Configuration For Logging,Final
385,Migrating from Subversion to Mercurial,Final
389,argparse - New Command Line Parsing Module,Final
387,Backwards Compatibility Policy,Active
386,Changing the version comparison module in Distutils,Superseded
381,Mirroring infrastructure for PyPI,Withdrawn
384,Defining a Stable ABI,Final
383,Non-decodable Bytes in System Character Interfaces,Final
382,Namespace Packages,Rejected
375,Python 3.1 Release Schedule,Final
379,Adding an Assignment Expression,Withdrawn
380,Syntax for Delegating to a Subgenerator,Final
378,Format Specifier for Thousands Separator,Final
374,Choosing a distributed VCS for the Python project,Final
377,Allow __enter__() methods to skip the statement body,Rejected
376,Database of Installed Python Distributions,Final
373,Python 2.7 Release Schedule,Final
370,Per user site-packages directory,Final
369,Post import hooks,Withdrawn
371,Addition of the multiprocessing package to the standard library,Final
368,Standard image protocol and class,Deferred
365,Adding the pkg_resources module,Rejected
367,New Super,Superseded
372,Adding an ordered dictionary to collections,Final
366,Main module explicit relative imports,Final
363,Syntax For Dynamic Attribute Access,Rejected
361,Python 2.6 and 3.0 Release Schedule,Final
359,The “make” Statement,Withdrawn
364,Transitioning to the Py3K Standard Library,Withdrawn
360,Externally Maintained Packages,Final
362,Function Signature Object,Final
357,Allowing Any Object to be Used for Slicing,Final
358,The “bytes” Object,Final
355,Path - Object oriented filesystem paths,Rejected
351,The freeze protocol,Rejected
353,Using ssize_t as the index type,Final
356,Python 2.5 Release Schedule,Final
352,Required Superclass for Exceptions,Final
354,Enumerations in Python,Superseded
350,Codetags,Rejected
349,Allow str() to return unicode strings,Rejected
348,Exception Reorganization for Python 3.0,Rejected
346,User Defined (”,Withdrawn
344,Exception Chaining and Embedded Tracebacks,Superseded
347,Migrating the Python CVS to Subversion,Final
345,Metadata for Python Software Packages 1.2,Superseded
343,The “with” Statement,Final
341,Unifying try-except and try-finally,Final
342,Coroutines via Enhanced Generators,Final
340,Anonymous Block Statements,Rejected
338,Executing modules as scripts,Final
336,Make None Callable,Rejected
335,Overloadable Boolean Operators,Rejected
339,Design of the CPython Compiler,Withdrawn
337,Logging Usage in the Standard Library,Deferred
334,Simple Coroutines via SuspendIteration,Withdrawn
333,Python Web Server Gateway Interface v1.0,Final
332,Byte vectors and String/Unicode Unification,Rejected
328,Imports: Multi-Line and Absolute/Relative,Final
327,Decimal Data Type,Final
330,Python Bytecode Verification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
325,Resource-Release Support for Generators,Rejected
326,A Case for Top and Bottom Values,Rejected
331,Locale-Independent Float/String Conversions,Final
324,subprocess - New process module,Final
323,Copyable Iterators,Deferred
322,Reverse Iteration,Final
321,Date/Time Parsing and Formatting,Withdrawn
320,Python 2.4 Release Schedule,Final
318,Decorators for Functions and Methods,Final
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
315,Enhanced While Loop,Rejected
316,Programming by Contract for Python,Deferred
314,Metadata for Python Software Packages 1.1,Superseded
313,Adding Roman Numeral Literals to Python,Rejected
309,Partial Function Application,Final
312,Simple Implicit Lambda,Deferred
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
310,Reliable Acquisition/Release Pairs,Rejected
305,CSV File API,Final
306,How to Change Python’s Grammar,Withdrawn
303,Extend divmod() for Multiple Divisors,Rejected
301,Package Index and Metadata for Distutils,Final
302,New Import Hooks,Final
308,Conditional Expressions,Final
307,Extensions to the pickle protocol,Final
304,Controlling Generation of Bytecode Files,Withdrawn
298,The Locked Buffer Interface,Withdrawn
299,Special __main__() function in modules,Rejected
297,Support for System Upgrades,Rejected
295,Interpretation of multiline string constants,Rejected
293,Codec Error Handling Callbacks,Final
294,Type Names in the types Module,Rejected
296,Adding a bytes Object Type,Withdrawn
292,Simpler String Substitutions,Final
291,Backward Compatibility for the Python 2 Standard Library,Final
289,Generator Expressions,Final
286,Enhanced Argument Tuples,Deferred
290,Code Migration and Modernization,Active
287,reStructuredText Docstring Format,Active
288,Generators Attributes and Exceptions,Withdrawn
285,Adding a bool type,Final
284,Integer for-loops,Rejected
283,Python 2.3 Release Schedule,Final
277,Unicode file name support for Windows NT,Final
280,Optimizing access to globals,Deferred
279,The enumerate() built-in function,Final
282,A Logging System,Final
281,Loop Counter Iteration with range and xrange,Rejected
278,Universal Newline Support,Final
276,Simple Iterator for ints,Rejected
275,Switching on Multiple Values,Rejected
270,uniq method for list objects,Rejected
273,Import Modules from Zip Archives,Final
274,Dict Comprehensions,Final
269,Pgen Module for Python,Deferred
268,Extended HTTP functionality and WebDAV,Rejected
272,API for Block Encryption Algorithms v1.0,Final
267,Optimized Access to Module Namespaces,Deferred
266,Optimizing Global Variable/Attribute Access,Withdrawn
260,Simplify xrange(),Final
265,Sorting Dictionaries by Value,Rejected
261,Support for “wide” Unicode characters,Final
263,Defining Python Source Code Encodings,Final
264,Future statements in simulated shells,Final
262,A Database of Installed Python Packages,Rejected
271,Prefixing sys.path by command line option,Rejected
259,Omit printing newline after newline,Rejected
258,Docutils Design Specification,Rejected
257,Docstring Conventions,Active
256,Docstring Processing System Framework,Rejected
253,Subtyping Built-in Types,Final
255,Simple Generators,Final
254,Making Classes Look More Like Types,Rejected
252,Making Types Look More Like Classes,Final
245,Python Interface Syntax,Rejected
251,Python 2.2 Release Schedule,Final
250,Using site-packages on Windows,Final
249,Python Database API Specification v2.0,Final
246,Object Adaptation,Rejected
247,API for Cryptographic Hash Functions,Final
248,Python Database API Specification v1.0,Final
244,The ,Rejected
242,Numeric Kinds,Rejected
243,Module Repository Upload Mechanism,Withdrawn
241,Metadata for Python Software Packages,Superseded
240,Adding a Rational Literal to Python,Rejected
239,Adding a Rational Type to Python,Rejected
237,Unifying Long Integers and Integers,Final
238,Changing the Division Operator,Final
236,Back to the __future__,Final
235,Import on Case-Insensitive Platforms,Final
234,Iterators,Final
232,Function Attributes,Final
230,Warning Framework,Final
229,Using Distutils to Build Python,Final
231,__findattr__(),Rejected
233,Python Online Help,Deferred
228,Reworking Python’s Numeric Model,Withdrawn
226,Python 2.1 Release Schedule,Final
227,Statically Nested Scopes,Final
222,Web Library Enhancements,Deferred
223,Change the Meaning of ,Final
225,Elementwise/Objectwise Operators,Rejected
224,Attribute Docstrings,Rejected
220,"Coroutines, Generators, Continuations",Rejected
221,Import As,Final
219,Stackless Python,Deferred
218,Adding a Built-In Set Object Type,Final
212,Loop Counter Iteration,Rejected
215,String Interpolation,Superseded
213,Attribute Access Handlers,Deferred
217,Display Hook for Interactive Use,Final
216,Docstring Format,Rejected
214,Extended Print Statement,Final
210,Decoupling the Interpreter Loop,Rejected
208,Reworking the Coercion Model,Final
204,Range Literals,Rejected
207,Rich Comparisons,Final
206,Python Advanced Library,Withdrawn
211,Adding A New Outer Product Operator,Rejected
205,Weak References,Final
209,Multi-dimensional Arrays,Withdrawn
203,Augmented Assignments,Final
100,Python Unicode Integration,Final
102,Doing Python Micro Releases,Superseded
101,Doing Python Releases 101,Active
202,List Comprehensions,Final
42,Feature Requests,Withdrawn
103,Collecting information about git,Withdrawn
20,The Zen of Python,Active
